time,value
00:00:00,93
00:00:05,96
00:00:10,95
00:00:15,92
00:00:30,88
00:00:35,85
00:00:40,84
00:00:45,83
00:00:50,81
00:01:00,81
00:01:05,85
00:01:10,86
00:01:15,87
00:01:20,88
00:01:25,87
00:01:30,91
00:01:35,92
00:01:40,93
00:01:45,97
00:01:50,95
00:01:55,94
00:02:00,95
00:02:05,94
00:02:10,93
00:02:15,94
00:02:20,95
00:02:25,98
00:02:30,100
00:02:35,98
00:02:40,97
00:02:45,96
00:02:50,95
00:02:55,90
00:03:10,93
00:03:15,93
00:03:25,94
00:03:30,96
00:03:35,93
00:03:40,95
00:03:45,92
00:03:50,91
00:04:00,89
00:04:05,91
00:04:10,90
00:04:20,91
00:04:25,90
00:04:30,90
00:04:40,89
00:04:50,90
00:04:55,92
00:05:00,94
00:05:05,96
00:05:10,97
00:05:15,98
00:05:20,92
00:05:25,90
00:05:30,86
00:05:35,84
00:05:40,80
00:05:45,82
00:05:50,90
00:05:55,88
00:06:00,92
00:06:05,82
00:06:10,81
00:06:15,77
00:06:20,78
00:06:25,77
00:06:35,78
00:06:40,79
00:06:50,79
00:06:55,80
00:07:00,81
00:07:10,79
00:07:15,81
00:07:20,80
00:07:30,81
00:07:35,79
00:07:45,77
00:07:50,79
00:07:55,81
00:08:00,82
00:08:05,80
00:08:10,79
00:08:15,77
00:08:20,78
00:08:25,79
00:08:30,79
00:08:40,79
00:08:45,78
00:08:50,79
00:08:55,82
00:09:00,83
00:09:05,84
00:09:10,85
00:09:20,85
00:09:30,84
00:09:35,84
00:09:40,84
00:09:45,87
00:09:50,88
00:09:55,87
00:10:00,86
00:10:10,85
00:10:15,84
00:10:20,84
00:10:25,86
00:10:30,87
00:10:35,85
00:10:40,87
00:10:45,88
00:10:50,86
00:10:55,84
00:11:00,83
00:11:10,84
00:11:15,85
00:11:30,84
00:11:45,84
00:11:50,84
00:12:00,84
00:12:05,85
00:12:20,84
00:12:25,85
00:12:40,85
00:12:55,84
00:13:10,85
00:13:20,85
00:13:25,85
00:13:35,86
00:13:40,87
00:13:45,88
00:13:50,90
00:13:55,88
00:14:10,90
00:14:15,89
00:14:20,88
00:14:35,88
00:14:40,89
00:14:45,91
00:14:50,93
00:14:55,97
00:15:00,98
00:15:05,99
00:15:10,98
00:15:15,101
00:15:20,104
00:15:25,105
00:15:30,109
00:15:35,110
00:15:40,111
00:15:45,110
00:15:50,109
00:15:55,110
00:16:00,110
00:16:15,112
00:16:30,110
00:16:35,111
00:16:40,113
00:16:45,111
00:16:50,110
00:16:55,111
00:17:00,107
00:17:05,108
00:17:10,106
00:17:15,108
00:17:20,107
00:17:25,109
00:17:30,112
00:17:35,111
00:17:40,110
00:17:55,110
00:18:10,111
00:18:15,112
00:18:20,113
00:18:25,111
00:18:35,110
00:18:45,111
00:18:50,112
00:18:55,110
00:19:00,108
00:19:05,109
00:19:15,108
00:19:25,102
00:19:30,106
00:19:35,106
00:19:40,107
00:19:45,104
00:19:50,102
00:19:55,103
00:20:00,101
00:20:05,100
00:20:10,95
00:20:15,96
00:20:20,95
00:20:25,97
00:20:30,100
00:20:35,102
00:20:40,104
00:20:45,105
00:20:50,107
00:20:55,106
00:21:10,106
00:21:15,103
00:21:20,102
00:21:25,101
00:21:30,98
00:21:35,99
00:21:40,96
00:21:45,94
00:21:50,92
00:22:00,94
00:22:05,95
00:22:20,93
00:22:25,94
00:22:30,93
00:22:35,89
00:22:40,87
00:22:45,85
00:22:50,81
